timeNow,imuPosX,imuPosY,uwbPosX,uwbPosY,syncPosX,syncPosY,lightHousePosX,lightHousePosY,lightHousePosZ
1702591813.370469437,0,0,11.5615,2.05104,1.71342,0.130726,0.5855,0.1083,0.6545
1702591813.383736772,0,0,11.5615,2.05104,1.71342,0.130726,0.5855,0.1083,0.6545
1702591813.397611940,0,0,11.5615,2.05104,1.71342,0.130726,0.5855,0.1083,0.6545
1702591813.411572275,0,0,11.5615,2.05104,1.71342,0.130726,0.5854,0.1083,0.6546
1702591813.425592693,0,0,11.5615,2.05104,1.71342,0.130726,0.5854,0.1083,0.6546
1702591813.439712569,0,0,11.5615,2.05104,1.71342,0.130726,0.5854,0.1083,0.6546
1702591813.452909029,0,0,10.4375,8.05078,1.85427,0.258594,0.5854,0.1083,0.6546
1702591813.467685155,0,0,10.4375,8.05078,1.85427,0.258594,0.5854,0.1083,0.6546
1702591813.481483615,0,0,10.4375,8.05078,1.85427,0.258594,0.5854,0.1083,0.6546
1702591813.494706616,0,0,10.4375,8.05078,1.85427,0.258594,0.5854,0.1083,0.6546
1702591813.508577118,0,0,10.4375,8.05078,1.85427,0.258594,0.5856,0.1083,0.6545
1702591813.522608036,0,0,10.4375,8.05078,1.85427,0.258594,0.5856,0.1083,0.6545
1702591813.539385871,0,0,10.4375,8.05078,1.85427,0.258594,0.5856,0.1083,0.6545
1702591813.553782539,0,0,12.625,1.62109,2.03582,0.28156,0.5856,0.1083,0.6545
1702591813.567744332,0,0,12.625,1.62109,2.03582,0.28156,0.5856,0.1083,0.6545
1702591813.581758917,0,0,12.625,1.62109,2.03582,0.28156,0.5856,0.1083,0.6545
1702591813.596646752,0,0,12.625,1.62109,2.03582,0.28156,0.5856,0.1083,0.6545
1702591813.610538836,0,0,12.625,1.62109,2.03582,0.28156,0.5855,0.1082,0.6544
1702591813.623733254,0,0,12.625,1.62109,2.03582,0.28156,0.5855,0.1082,0.6544
1702591813.637720131,0,0,12.625,1.62109,2.03582,0.28156,0.5855,0.1082,0.6544
1702591813.651485340,0,0,10.4792,2.64974,2.18394,0.323104,0.5855,0.1082,0.6544
1702591813.665493800,0,0,10.4792,2.64974,2.18394,0.323104,0.5855,0.1082,0.6544
1702591813.678599260,0,0,10.4792,2.64974,2.18394,0.323104,0.5855,0.1082,0.6544
1702591813.692615595,0,0,10.4792,2.64974,2.18394,0.323104,0.5855,0.1082,0.6544
1702591813.705603804,0,0,10.4792,2.64974,2.18394,0.323104,0.5855,0.1082,0.6544
1702591813.719616347,0,0,10.4792,2.64974,2.18394,0.323104,0.5855,0.1081,0.6544
1702591813.734469765,0,0,10.4792,2.64974,2.18394,0.323104,0.5855,0.1081,0.6544
1702591813.747589808,0,0,10.4792,2.64974,2.18394,0.323104,0.5855,0.1081,0.6544
1702591813.761602643,0,0,7.32812,5.02187,2.27759,0.408645,0.5855,0.1081,0.6544
1702591813.775504353,0,0,7.32812,5.02187,2.27759,0.408645,0.5855,0.1081,0.6544
1702591813.789432604,0,0,7.32812,5.02187,2.27759,0.408645,0.5855,0.1081,0.6544
1702591813.802748939,0,0,7.32812,5.02187,2.27759,0.408645,0.5855,0.1081,0.6544
1702591813.817628315,0,0,7.32812,5.02187,2.27759,0.408645,0.5855,0.1082,0.6544
1702591813.831513109,0,0,7.32812,5.02187,2.27759,0.408645,0.5855,0.1082,0.6544
1702591813.844720360,0,0,7.32812,5.02187,2.27759,0.408645,0.5855,0.1082,0.6544
1702591813.858596111,0,0,7.32812,5.02187,2.37276,0.495572,0.5855,0.1082,0.6544
