imuDataRxTime,odomDataRxTime,uwbDataRxTime,aX,aY,aZ,wX,wY,wZ,qX,qY,qZ,qW,vXY,angleV,imuPosX,imuPosY,uwbPosX,uwbPosY,syncPosX,syncPosY,lightHousePosX,lightHousePosY,lightHousePosZ,d1,d2,d3
1702752955.445984051,1702752955.424256048,1702752955.356836125,0.407014,-0.308852,9.73482,-0.0617853,-0.00639159,0.0308927,0,0,0,1,0,0,0,0,-5.06667,-4.66693,-0.00428937,-0.00162446,0.0144,0.02,-0.1902,474,470,469
1702752955.459257219,1702752955.424256048,1702752955.456834927,0.418985,-0.289698,9.72764,-0.0607201,-0.00532632,0.0308927,0,0,0,1,0,0,0,0,-7.04583,0.246615,-0.0051339,-0.00159468,0.0145,0.0201,-0.19,470,468,471
1702752955.473251387,1702752955.437391258,1702752955.456834927,0.414197,-0.260968,9.68933,-0.0617853,-0.00532632,0.0298274,0,0,0,1,0,0,0,0,-7.04583,0.246615,-0.0051339,-0.00159468,0.0145,0.0201,-0.19,470,468,471
1702752955.487010471,1702752955.437391258,1702752955.456834927,0.397437,-0.275333,9.68694,-0.0607201,-0.00532632,0.0308927,0,0,0,1,0,0,0,0,-7.04583,0.246615,-0.0051339,-0.00159468,0.0144,0.0202,-0.1898,470,468,471
1702752955.501093306,1702752955.437391258,1702752955.456834927,0.411803,-0.28491,9.68455,-0.0617853,-0.00532632,0.0319579,0,0,0,1,0,0,0,0,-7.04583,0.246615,-0.0051339,-0.00159468,0.0144,0.0202,-0.1898,470,468,471
1702752955.514156766,1702752955.465401178,1702752955.456834927,0.407014,-0.263362,9.71088,-0.0617853,-0.00639159,0.0287621,0,0,0,1,0,0,0,0,-7.04583,0.246615,-0.0051339,-0.00159468,0.0144,0.0202,-0.1898,470,468,471
1702752955.528100476,1702752955.465401178,1702752955.456834927,0.399832,-0.272939,9.69891,-0.0617853,-0.00532632,0.0308927,0,0,0,1,0,0,0,0,-7.04583,0.246615,-0.0051339,-0.00159468,0.0145,0.0201,-0.19,470,468,471
1702752955.542096102,1702752955.465401178,1702752955.456834927,0.385466,-0.287304,9.7037,-0.0617853,-0.00532632,0.0308927,0,0,0,1,0,0,0,0,-7.04583,0.246615,-0.0051339,-0.00159468,0.0145,0.0201,-0.19,470,468,471
1702752955.556062853,1702752955.506369557,1702752955.556028437,0.428562,-0.260968,9.71567,-0.0628506,-0.00639159,0.0298274,0,0,0,1,0,0,0,0,-10.9542,0.488542,-0.00655638,-0.00153101,0.0144,0.0201,-0.1902,468,470,468
1702752955.570350730,1702752955.506369557,1702752955.556028437,0.378284,-0.268151,9.71088,-0.0617853,-0.00532632,0.0298274,0,0,0,1,0,0,0,0,-10.9542,0.488542,-0.00655638,-0.00153101,0.0144,0.0201,-0.1902,468,470,468
